Time,Usage_history,Time_Between_Cycles,Runtime_Average ,Running_Cycle,Motor_Duty 
2022-04-17 12:00:00,8.25,14.2,52.6,265,0.238
2022-04-17 13:00:00,5.24,14.9,52.1,229,0.205
2022-04-17 14:00:00,8.94,15.8,51.7,222,0.191
2022-04-17 15:00:00,6.89,16.4,51.5,204,0.172
2022-04-17 16:00:00,6.77,16.0,52.3,223,0.188
2022-04-17 17:00:00,8.36,16.1,50.9,235,0.196
2022-04-17 18:00:00,5.99,15.8,52.6,229,0.195
2022-04-17 19:00:00,6.61,14.7,52.3,259,0.228
2022-04-17 20:00:00,5.77,13.2,52.2,316,0.284
2022-04-17 21:00:00,8.69,12.7,52.1,313,0.291
2022-04-17 22:00:00,12.8,13.7,51.9,269,0.247
2022-04-17 23:00:00,10.4,15.5,52.6,234,0.201
2022-04-18 00:00:00,11.5,19.6,52.5,191,0.142
2022-04-18 01:00:00,6.56,27.5,52.8,200,0.109
2022-04-18 02:00:00,5.86,32.6,53.0,175,0.0820
2022-04-18 03:00:00,8.20,40.4,52.5,176,0.0678
2022-04-18 04:00:00,6.27,48.2,52.7,180,0.0585
2022-04-18 05:00:00,4.63,46.5,53.6,156,0.0530
2022-04-18 06:00:00,5.22,38.9,52.8,155,0.0620
2022-04-18 07:00:00,3.34,36.7,52.9,175,0.0735
2022-04-18 08:00:00,7.70,23.2,53.8,197,0.128
2022-04-18 09:00:00,9.09,15.5,54.6,232,0.200
2022-04-18 10:00:00,10.7,14.6,57.5,253,0.224
2022-04-18 11:00:00,11.1,13.4,53.4,268,0.250
2022-04-18 12:00:00,8.59,13.8,52.1,265,0.242
2022-04-18 13:00:00,9.80,14.1,52.5,271,0.243
2022-04-18 14:00:00,6.46,14.5,52.4,254,0.226
2022-04-18 15:00:00,5.89,14.4,52.3,256,0.229
2022-04-18 16:00:00,8.81,14.8,51.3,237,0.211
2022-04-18 17:00:00,12.2,15.1,54.7,239,0.209
2022-04-18 18:00:00,10.8,14.2,52.0,280,0.248
2022-04-18 19:00:00,6.27,12.8,51.7,381,0.331
2022-04-18 20:00:00,9.08,14.2,51.3,451,0.345
2022-04-18 21:00:00,10.6,13.5,52.9,504,0.384
2022-04-18 22:00:00,11.0,13.6,51.9,308,0.273
2022-04-18 23:00:00,11.1,15.0,52.3,217,0.195
2022-04-19 00:00:00,7.59,20.6,51.7,179,0.128
2022-04-19 01:00:00,7.57,26.4,52.2,166,0.0949
2022-04-19 02:00:00,10.2,34.7,52.6,186,0.0830
2022-04-19 03:00:00,2.96,46.3,53.6,116,0.0402
2022-04-19 04:00:00,4.03,37.2,52.3,160,0.0668
2022-04-19 05:00:00,5.94,39.6,53.0,174,0.0684
2022-04-19 06:00:00,6.49,27.6,53.1,206,0.112
2022-04-19 07:00:00,5.81,16.2,53.3,230,0.193
2022-04-19 08:00:00,6.64,14.2,54.1,227,0.212
2022-04-19 09:00:00,8.96,14.7,53.0,245,0.218
2022-04-19 10:00:00,6.64,15.4,51.9,233,0.202
2022-04-19 11:00:00,8.61,15.6,52.7,235,0.201
2022-04-19 12:00:00,5.27,16.0,51.3,213,0.181
2022-04-19 13:00:00,9.00,16.1,51.4,239,0.197
2022-04-19 14:00:00,6.30,16.9,51.4,225,0.182
2022-04-19 15:00:00,7.59,17.3,51.1,203,0.164
2022-04-19 16:00:00,8.28,14.8,51.2,229,0.205
2022-04-19 17:00:00,5.61,15.0,51.7,246,0.215
2022-04-19 18:00:00,5.06,13.9,51.7,244,0.227
2022-04-19 19:00:00,8.22,13.3,51.0,306,0.278
2022-04-19 20:00:00,8.32,12.5,51.4,395,0.345
2022-04-19 21:00:00,10.4,13.5,52.1,515,0.387
2022-04-19 22:00:00,13.9,12.6,52.2,298,0.283
2022-04-19 23:00:00,10.8,15.5,52.0,234,0.202
2022-04-20 00:00:00,8.66,20.0,53.7,190,0.137
2022-04-20 01:00:00,7.57,26.2,52.8,176,0.102
2022-04-20 02:00:00,15.1,33.9,58.6,195,0.0879
2022-04-20 03:00:00,3.02,37.7,53.8,167,0.0688
2022-04-20 04:00:00,6.77,40.4,52.9,138,0.0539
2022-04-20 05:00:00,4.21,40.9,60.3,191,0.0723
2022-04-20 06:00:00,6.01,27.5,52.9,208,0.113
2022-04-20 07:00:00,8.40,16.0,53.1,231,0.197
2022-04-20 08:00:00,11.8,14.4,53.8,241,0.218
2022-04-20 09:00:00,7.43,15.0,52.7,233,0.207
2022-04-20 10:00:00,6.69,15.5,52.4,240,0.205
2022-04-20 11:00:00,9.09,14.9,51.7,225,0.201
2022-04-20 12:00:00,8.39,16.2,52.9,211,0.179
2022-04-20 13:00:00,5.88,16.4,50.7,225,0.186
2022-04-20 14:00:00,5.99,15.8,51.2,235,0.199
2022-04-20 15:00:00,5.58,16.2,51.0,219,0.184
2022-04-20 16:00:00,6.93,16.1,51.3,222,0.187
2022-04-20 17:00:00,7.46,14.8,50.8,245,0.217
2022-04-20 18:00:00,6.73,14.1,49.5,261,0.236
2022-04-20 19:00:00,6.93,13.0,50.7,316,0.288
2022-04-20 20:00:00,3.54,13.8,50.5,517,0.382
2022-04-20 21:00:00,8.74,13.6,51.9,574,0.414
2022-04-20 22:00:00,12.7,12.9,51.6,369,0.322
2022-04-20 23:00:00,10.1,14.7,51.8,234,0.211
2022-04-21 00:00:00,9.18,19.6,53.1,187,0.139
2022-04-21 01:00:00,9.42,23.2,51.2,201,0.127
2022-04-21 02:00:00,8.28,30.6,53.9,176,0.0878
2022-04-21 03:00:00,5.13,34.9,51.8,189,0.0827
2022-04-21 04:00:00,8.76,38.0,58.3,173,0.0702
2022-04-21 05:00:00,7.11,32.7,52.9,172,0.0804
2022-04-21 06:00:00,5.18,24.5,58.1,178,0.111
2022-04-21 07:00:00,8.74,15.4,57.2,230,0.201
2022-04-21 08:00:00,7.30,13.9,52.6,245,0.227
2022-04-21 09:00:00,6.64,14.5,52.5,232,0.211
2022-04-21 10:00:00,6.74,14.7,51.7,240,0.213
2022-04-21 11:00:00,9.91,15.8,53.2,219,0.187
2022-04-21 12:00:00,8.64,15.4,51.9,231,0.201
2022-04-21 13:00:00,6.16,16.9,51.3,204,0.168
2022-04-21 14:00:00,5.68,16.0,51.1,228,0.191
2022-04-21 15:00:00,10.9,16.0,52.0,215,0.184
2022-04-21 16:00:00,8.52,15.3,51.0,224,0.196
2022-04-21 17:00:00,6.07,14.5,50.8,246,0.220
2022-04-21 18:00:00,8.91,13.7,51.4,271,0.249
2022-04-21 19:00:00,5.25,13.0,51.5,324,0.292
2022-04-21 20:00:00,7.66,13.3,51.3,430,0.350
2022-04-21 21:00:00,10.7,13.0,51.7,515,0.398
2022-04-21 22:00:00,11.9,12.9,51.6,396,0.337
